course_id,course_name,section_id,session,days/times,dates,instructor,status
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥Section: 004-RCT (9412)¥,¥Session: Regular Academic Session¥,¥Days/Times: Mo 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Alexa Sue Amore¥,¥Status: Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥Section: 005-RCT (9413)¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 12:30pm - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Alexa Sue Amore¥,¥Status: Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥Section: 006-RCT (9414)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Rebecca Ann Salem¥,¥Status: Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥Section: 007-RCT (9415)¥,¥Session: Regular Academic Session¥,¥Days/Times: Th 2:00pm - 3:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Rebecca Ann Salem¥,¥Status: Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥Section: 001-LEC (9416)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Kenneth E Silver¥,¥Status: Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥Section: 002-LEC (9417)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Kenneth E Silver¥,¥Status: Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥Section: 003-LEC (9418)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Kenneth E Silver¥,¥Status: Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥Section: 004-RCT (9419)¥,¥Session: Regular Academic Session¥,¥Days/Times: Mo 12:30pm - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Francesca Isabella Ferrari¥,¥Status: Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥Section: 005-RCT (9420)¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Francesca Isabella Ferrari¥,¥Status: Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥Section: 006-RCT (9421)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 12:30pm - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Jennifer G Buonocore¥,¥Status: Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥Section: 007-RCT (9422)¥,¥Session: Regular Academic Session¥,¥Days/Times: Th 3:30pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Jennifer G Buonocore¥,¥Status: Open¥
¥ARTHUA5127943¥,¥ARTH-UA 5 - Renaissance Art¥,¥Section: 001-LEC (9657)¥,¥Session: Regular Academic Session¥,¥Days/Times: TuTh 3:30pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Cristina Sol Arnedo Aldrich, Louise Rice¥,¥Status: Open¥
¥ARTHUA6127944¥,¥ARTH-UA 6 - Modern Art¥,¥Section: 001-LEC (9423)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 12:30pm - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Ami Imai Brett, Julia E Robinson, Megan Anne Kincaid¥,¥Status: Open¥
¥ARTHUA105127955¥,¥ARTH-UA 105 - Roman Architecture¥,¥Section: 001-LEC (19846)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: John N Hopkins¥,¥Status: Open¥
