¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥,¥wait list total¥
¥MAUY4993073602¥,¥MA-UY 4993 - Thesis for Bachelor of Science Degree¥,¥A-RSC (16667)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY498X073984¥,¥ME-UY 498X - SPECIAL TOPICS IN MECHANICAL ENGINEERING¥,¥BK01-LEC (25240)¥,¥Regenerative Medicine in Orthopaedics¥,¥Regular Academic Session¥,¥TBA¥,¥01/27/2020 - 05/11/2020¥,¥Alesha Bernedette Castillo¥,¥Closed¥,¥¥
¥MEUY498X073984¥,¥ME-UY 498X - SPECIAL TOPICS IN MECHANICAL ENGINEERING¥,¥BK02-LEC (25241)¥,¥Critical Analysis & Presentation of Scientific Lit¥,¥Regular Academic Session¥,¥TBA¥,¥01/27/2020 - 05/11/2020¥,¥Alesha Bernedette Castillo¥,¥Closed¥,¥¥
¥MEUY498X073984¥,¥ME-UY 498X - SPECIAL TOPICS IN MECHANICAL ENGINEERING¥,¥BK03-LEC (25624)¥,¥Wearable Haptic Devices ¥,¥Regular Academic Session¥,¥TBA¥,¥01/27/2020 - 05/11/2020¥,¥Maurizio Porfiri¥,¥Closed¥,¥¥
¥MEUY1012072951¥,¥ME-UY 1012 - Introduction to Mechanical Engineering¥,¥A-LEC (16710)¥,¥¥,¥Regular Academic Session¥,¥Tu 2:00pm - 3:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY1012072951¥,¥ME-UY 1012 - Introduction to Mechanical Engineering¥,¥B-LEC (16711)¥,¥¥,¥Regular Academic Session¥,¥Th 2:00pm - 3:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY2112072952¥,¥ME-UY 2112 - COMPUTER AIDED DESIGN¥,¥ALAB-LAB (16712)¥,¥¥,¥Regular Academic Session¥,¥Mo 9:00am - 10:20am¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY2112072952¥,¥ME-UY 2112 - COMPUTER AIDED DESIGN¥,¥BLAB-LAB (16804)¥,¥¥,¥Regular Academic Session¥,¥Mo 10:30am - 11:50am¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY2112072952¥,¥ME-UY 2112 - COMPUTER AIDED DESIGN¥,¥LEC-LEC (16713)¥,¥¥,¥Regular Academic Session¥,¥We 9:25am - 10:20am¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY2211072953¥,¥ME-UY 2211 - Statics Laboratory¥,¥A-LAB (16714)¥,¥¥,¥Regular Academic Session¥,¥Tu 2:30pm - 5:30pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY2211072953¥,¥ME-UY 2211 - Statics Laboratory¥,¥B-LAB (16837)¥,¥¥,¥Regular Academic Session¥,¥Th 2:30pm - 5:30pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY2211072953¥,¥ME-UY 2211 - Statics Laboratory¥,¥C-LAB (17072)¥,¥¥,¥Regular Academic Session¥,¥Th 11:00am - 1:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY2213072954¥,¥ME-UY 2213 - Statics¥,¥A-LEC (16715)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:30am - 10:50am¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY2213072954¥,¥ME-UY 2213 - Statics¥,¥INET-LEC (16838)¥,¥¥,¥Regular Academic Session¥,¥MoWe 12:30pm - 1:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY2811072975¥,¥ME-UY 2811 - Materials Science Laboratory¥,¥A1LB-LAB (16737)¥,¥¥,¥Regular Academic Session¥,¥Mo 9:30am - 12:30pm Mo 9:30am - 12:30pm Mo 9:30am - 12:30pm Mo 9:30am - 12:30pm Mo 9:30am - 12:30pm Mo 9:30am - 12:30pm Mo 9:30am - 12:30pm¥,¥01/27/2020 - 01/27/2020 02/03/2020 - 02/03/2020 02/24/2020 - 02/24/2020 03/09/2020 - 03/09/2020 03/30/2020 - 03/30/2020 04/13/2020 - 04/13/2020 04/27/2020 - 04/27/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY2811072975¥,¥ME-UY 2811 - Materials Science Laboratory¥,¥B1LB-LAB (17058)¥,¥¥,¥Regular Academic Session¥,¥We 9:30am - 12:30pm We 9:30am - 12:30pm We 9:30am - 12:30pm We 9:30am - 12:30pm We 9:30am - 12:30pm We 9:30am - 12:30pm We 9:30am - 12:30pm¥,¥01/29/2020 - 01/29/2020 02/05/2020 - 02/05/2020 02/19/2020 - 02/19/2020 03/04/2020 - 03/04/2020 03/25/2020 - 03/25/2020 04/08/2020 - 04/08/2020 04/22/2020 - 04/22/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY2813072976¥,¥ME-UY 2813 - Introduction to Materials Science¥,¥A-LEC (16738)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:20pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3211072956¥,¥ME-UY 3211 - Mechanics of Materials Laboratory¥,¥A-LAB (16716)¥,¥¥,¥Regular Academic Session¥,¥Fr 8:00am - 10:50am¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY3213072957¥,¥ME-UY 3213 - Mechanics of Materials¥,¥A-LEC (16717)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:20pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
¥MEUY3223072958¥,¥ME-UY 3223 - Dynamics¥,¥A-LEC (16718)¥,¥¥,¥Regular Academic Session¥,¥TuTh 12:30pm - 1:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3233072959¥,¥ME-UY 3233 - Machine Design¥,¥A-LEC (16719)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:20pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3233072959¥,¥ME-UY 3233 - Machine Design¥,¥B-LEC (16839)¥,¥¥,¥Regular Academic Session¥,¥MoWe 6:30pm - 7:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3311072960¥,¥ME-UY 3311 - Fluid Mechanics Laboratory¥,¥A-LAB (16720)¥,¥¥,¥Regular Academic Session¥,¥Fr 2:00pm - 4:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY3311072960¥,¥ME-UY 3311 - Fluid Mechanics Laboratory¥,¥B-LAB (16840)¥,¥¥,¥Regular Academic Session¥,¥Fr 11:00am - 1:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Closed¥,¥¥
