¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥
¥ANTHUA400126250¥,¥ANTH-UA 400 - Transnationalism¥,¥001-SEM (10051)¥,¥¥,¥Regular Academic Session¥,¥We 2:00pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Jerome O Whitington¥,¥Open¥
¥ANTHUA410126253¥,¥ANTH-UA 410 - The Social Life of Food¥,¥001-LEC (10052)¥,¥¥,¥Regular Academic Session¥,¥Mo 9:30am - 12:00pm¥,¥09/03/2019 - 12/13/2019¥,¥Elan Louis Abrell¥,¥Closed¥
¥ANTHUA495231305¥,¥ANTH-UA 495 - Urban Greening Lab: New York¥,¥001-SEM (19920)¥,¥¥,¥Regular Academic Session¥,¥Mo 3:30pm - 6:00pm¥,¥09/03/2019 - 12/13/2019¥,¥Anne M Rademacher¥,¥Closed¥
¥ANTHUA703231086¥,¥ANTH-UA 703 - Islam in the World¥,¥001-SEM (19966)¥,¥¥,¥Regular Academic Session¥,¥Th 2:00pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Michael C Gilsenan¥,¥Open¥
¥ANTHUA747231247¥,¥ANTH-UA 747 - Introduction to Native American Studies¥,¥001-LEC (19221)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Elizabeth N Ellis, Jane Anderson¥,¥Closed¥
¥ANTHUA950126259¥,¥ANTH-UA 950 - Honors Research I¥,¥001-IND (7912)¥,¥¥,¥Regular Academic Session¥,¥We 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Sally E Merry¥,¥Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥001-IND (7913)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Pam Crabtree¥,¥Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥002-IND (7914)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Anne M Rademacher¥,¥Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥003-IND (7915)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Terry Harrison¥,¥Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥004-IND (7916)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Emily S Goldmann¥,¥Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥005-IND (10810)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Elayne Mary Oliphant¥,¥Open¥
¥ANTHUA997126263¥,¥ANTH-UA 997 - Independent Study¥,¥006-IND (10811)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/03/2019 - 12/13/2019¥,¥Bruce M Grant¥,¥Open¥
