¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥,¥wait list total¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥004-IND (10790)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥005-IND (10792)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥006-IND (10793)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ANTHUA998126264¥,¥ANTH-UA 998 - Independent Study¥,¥007-IND (10794)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥001-LEC (9873)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Carol H Krinsky¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥002-LEC (9875)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Carol H Krinsky¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥003-LEC (9874)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Carol H Krinsky¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥004-RCT (9876)¥,¥¥,¥Regular Academic Session¥,¥Mo 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥005-RCT (9877)¥,¥¥,¥Regular Academic Session¥,¥Tu 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥006-RCT (9878)¥,¥¥,¥Regular Academic Session¥,¥We 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥007-RCT (9879)¥,¥¥,¥Regular Academic Session¥,¥Th 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥001-LEC (9880)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Kenneth E Silver¥,¥Open¥,¥¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥002-LEC (9881)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Kenneth E Silver¥,¥Open¥,¥¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥003-LEC (9882)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Kenneth E Silver¥,¥Open¥,¥¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥004-RCT (9883)¥,¥¥,¥Regular Academic Session¥,¥Mo 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥005-RCT (9884)¥,¥¥,¥Regular Academic Session¥,¥Tu 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥006-RCT (9885)¥,¥¥,¥Regular Academic Session¥,¥We 3:30pm - 4:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥007-RCT (9886)¥,¥¥,¥Regular Academic Session¥,¥Th 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA4127942¥,¥ARTH-UA 4 - Medieval Art¥,¥001-LEC (19861)¥,¥¥,¥Regular Academic Session¥,¥MoWe 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Carol H Krinsky¥,¥Open¥,¥¥
¥ARTHUA5127943¥,¥ARTH-UA 5 - Renaissance Art¥,¥001-LEC (10110)¥,¥¥,¥Regular Academic Session¥,¥TuTh 3:30pm - 4:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Anna Theresa Majeski¥,¥Open¥,¥¥
¥ARTHUA6127944¥,¥ARTH-UA 6 - Modern Art¥,¥001-LEC (9887)¥,¥¥,¥Regular Academic Session¥,¥MoWe 12:30pm - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Julia E Robinson¥,¥Open¥,¥¥
¥ARTHUA150127957¥,¥ARTH-UA 150 - Sp Tpcs Ancient Art:¥,¥001-LEC (19865)¥,¥Monuments & Memory in Ancient Egypt and Elsewhere¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Ann Macy Roth¥,¥Open¥,¥¥
¥ARTHUA150127957¥,¥ARTH-UA 150 - Sp Tpcs Ancient Art:¥,¥002-LEC (21238)¥,¥The Parthenon¥,¥Regular Academic Session¥,¥Mo 3:30pm - 6:00pm¥,¥09/02/2020 - 12/13/2020¥,¥Joan Breton Connelly¥,¥Open¥,¥¥
¥ARTHUA250127966¥,¥ARTH-UA 250 - Sp Tpcs Medieval Art:¥,¥001-LEC (11045)¥,¥A Natural History of Medieval Art¥,¥Regular Academic Session¥,¥Th 11:00am - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA350127986¥,¥ARTH-UA 350 - Sp Tpcs Renaissance & Baroque Art:¥,¥001-LEC (10471)¥,¥Raphael at 500¥,¥Regular Academic Session¥,¥TuTh 3:30pm - 4:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Dennis V Geronimus¥,¥Open¥,¥¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥001-LEC (9888)¥,¥Social History of Photography¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Shelley Rice¥,¥Open¥,¥¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥002-LEC (9889)¥,¥Experimental Art of the 1960's¥,¥Regular Academic Session¥,¥MoWe 4:55pm - 6:10pm¥,¥09/02/2020 - 12/13/2020¥,¥Julia E Robinson¥,¥Open¥,¥¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥003-LEC (10964)¥,¥Abex to Pop¥,¥Regular Academic Session¥,¥MoWe 4:55pm - 6:10pm¥,¥09/02/2020 - 12/13/2020¥,¥Joseph Low Karmel¥,¥Open¥,¥¥
¥ARTHUA510128011¥,¥ARTH-UA 510 - East Asian Art I: China, Korea, Japan to 1000 Ce¥,¥001-LEC (10231)¥,¥¥,¥Regular Academic Session¥,¥MoWe 3:30pm - 4:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Michele Alberto Matteini¥,¥Open¥,¥¥
¥ARTHUA530128017¥,¥ARTH-UA 530 - South Asian Art I: Indus Valley to 1200¥,¥001-LEC (10555)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Gale Berninghausen¥,¥Open¥,¥¥
¥ARTHUA550128021¥,¥ARTH-UA 550 - Sp Tpcs Non-Western Art:¥,¥001-SEM (19867)¥,¥Pre-Colombian Art¥,¥Regular Academic Session¥,¥Tu 9:30am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥George A Corbin¥,¥Open¥,¥¥
¥ARTHUA550128021¥,¥ARTH-UA 550 - Sp Tpcs Non-Western Art:¥,¥002-SEM (21423)¥,¥Becoming Muslim¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Staff¥,¥Open¥,¥¥
¥ARTHUA601128027¥,¥ARTH-UA 601 - History of Architecture: Antiquity to Present¥,¥001-LEC (9896)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Jonathan Hume Ritter¥,¥Open¥,¥¥
¥ARTHUA601128027¥,¥ARTH-UA 601 - History of Architecture: Antiquity to Present¥,¥002-LEC (9897)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:30am - 10:45am¥,¥09/02/2020 - 12/13/2020¥,¥Jonathan Hume Ritter¥,¥Open¥,¥¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥001-SEM (9901)¥,¥Affordable Housing¥,¥Regular Academic Session¥,¥Mo 3:30pm - 6:10pm¥,¥09/02/2020 - 12/01/2020¥,¥Theodore Liebman¥,¥Open¥,¥¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥002-SEM (9902)¥,¥Elements of Successful Public Space¥,¥Regular Academic Session¥,¥Tu 3:30pm - 6:10pm¥,¥09/02/2020 - 12/13/2020¥,¥Lynden B Miller¥,¥Open¥,¥¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥003-SEM (9903)¥,¥The 4-Dimensional Landscape¥,¥Regular Academic Session¥,¥Tu 4:55pm - 7:25pm¥,¥09/02/2020 - 12/13/2020¥,¥Jennifer Bolstad¥,¥Open¥,¥¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥004-SEM (9904)¥,¥Global Cities and History¥,¥Regular Academic Session¥,¥Th 2:00pm - 4:45pm¥,¥09/02/2020 - 12/13/2020¥,¥Jonathan Hume Ritter¥,¥Open¥,¥¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥005-SEM (10406)¥,¥URDS and Health¥,¥Regular Academic Session¥,¥Mo 4:55pm - 7:25pm¥,¥09/02/2020 - 12/13/2020¥,¥Yetsuh Frank¥,¥Open¥,¥¥
¥ARTHUA661128033¥,¥ARTH-UA 661 - Shaping The Urban Environment¥,¥001-LEC (9898)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Mosette Broderick¥,¥Open¥,¥¥
¥ARTHUA661128033¥,¥ARTH-UA 661 - Shaping The Urban Environment¥,¥002-LEC (9900)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Mosette Broderick¥,¥Open¥,¥¥
¥ARTHUA661128033¥,¥ARTH-UA 661 - Shaping The Urban Environment¥,¥003-LEC (9899)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Mosette Broderick¥,¥Open¥,¥¥
¥ARTHUA670128036¥,¥ARTH-UA 670 - Decision-Making & Urban Design¥,¥001-SEM (9905)¥,¥¥,¥Regular Academic Session¥,¥We 11:00am - 1:45pm¥,¥09/02/2020 - 12/13/2020¥,¥James D Morgan¥,¥Open¥,¥¥
¥ARTHUA671128037¥,¥ARTH-UA 671 - Architecture in Context¥,¥001-SEM (9908)¥,¥¥,¥Regular Academic Session¥,¥We 4:55pm - 7:25pm¥,¥09/02/2020 - 12/13/2020¥,¥Austin Sakong, Luis A Bustamante¥,¥Open¥,¥¥
¥ARTHUA673128039¥,¥ARTH-UA 673 - Urban Design: Infrastructure¥,¥001-SEM (9906)¥,¥¥,¥Regular Academic Session¥,¥Tu 6:20pm - 8:50pm¥,¥09/02/2020 - 12/13/2020¥,¥Holly B Haff¥,¥Open¥,¥¥
¥ARTHUA674128040¥,¥ARTH-UA 674 - Urban Design & The Law¥,¥001-SEM (9907)¥,¥¥,¥Regular Academic Session¥,¥We 4:55pm - 7:25pm¥,¥09/02/2020 - 12/13/2020¥,¥Stephen M Raphael¥,¥Open¥,¥¥
¥ARTHUA676128042¥,¥ARTH-UA 676 - Drawing for Architects & Others¥,¥001-SEM (20019)¥,¥¥,¥Regular Academic Session¥,¥Tu 9:30am - 12:15pm¥,¥09/02/2020 - 12/13/2020¥,¥Maria Ibanez, Todd Rouhe¥,¥Open¥,¥¥
